Batch,Enrolment Type,Grade, School,Phone,Parent Email,Booked Time,Attendance
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Kamala Niketan Montessori School,911100221338,s2m_test_20340@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,Kamala niketan montesary school,911100221339,s2m_test_20341@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,Sri kumarans children home,911100221340,s2m_test_20342@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,DPS Megacity kolkatta,911100221341,s2m_test_20343@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,Sri Chaitanya school,911100221345,s2m_test_20347@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Indus Valley World School,911100221346,s2m_test_20348@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,Saint's Paul's School Rajkot,911100221348,s2m_test_20350@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,SBOA school and junior college,911100221024,s2m_test_20025@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,S.B.O.A SCHOOL AND JUNIOR COLLEGE,911100221026,s2m_test_20027@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,ST. Peter public school,911100221359,s2m_test_20362@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,Kampala niketan,911100221027,s2m_test_20028@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,The Samhita Academy,911100221360,s2m_test_20363@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,Nsn memorial school,911100221030,s2m_test_20031@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,Shree ram universal,911100221362,s2m_test_20365@tests2m.com,18-04-2020 11:15:00,Cancelled
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,Dr. C. L. Metha Sishya Omr school,911100221363,s2m_test_20366@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,Kamala niketan Montessori school,911100221037,s2m_test_21646@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,The cross word school,911100221039,s2m_test_20040@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,DWPS Zirakpur,911100221046,s2m_test_20047@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 3,Shree ram universal,911100221362,s2m_test_20365@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,DSE,911100221034,s2m_test_20080@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,P s senior secondary school,911100221079,s2m_test_20081@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 4,Delhi public school (panvel),911100221076,s2m_test_20077@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,The cross word school,911100221078,s2m_test_20079@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 3,DPS Megacity,911100221083,s2m_test_20085@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,NSN,911100221089,s2m_test_20091@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,Kamala nikedan montessori school,911100221094,s2m_test_20096@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,The Cambridge International School,911100222630,s2m_test_21647@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,Mahatma cbse,911100222631,s2m_test_21648@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,The Shriram Universal School,911100222632,s2m_test_21649@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,Kamala niketan School,911100221271,s2m_test_20271@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,TGES Wadi Juniors,911100222633,s2m_test_21650@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,as suffa grammar school,911100221342,s2m_test_20344@tests2m.com,18-04-2020 11:15:00,Cancelled
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,Kle english school nippani,911100222634,s2m_test_21651@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,secunderabad public school,911100222635,s2m_test_21652@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Sri Ram,911100222636,s2m_test_21653@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 3,Vidya Vikas Academy,911100222637,s2m_test_21654@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Chinmaya vidyalaya higer secondary school,911100222638,s2m_test_21655@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,DSE Manikonda,911100222639,s2m_test_21656@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Jessie Moses,911100221433,s2m_test_20437@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 3,Delhi Public School South,911100222640,s2m_test_20310@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Mamta.modern.school,911100222641,s2m_test_21657@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,SHRIRAM UNIVERSAL SCHOOl,911100222642,s2m_test_21658@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,Sri Sri Academy,911100222643,s2m_test_21659@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,DAV MATRIC GILL NAGAR,911100221071,s2m_test_20072@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,B D Memorial,911100221054,s2m_test_20055@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,The Samhita Academy,911100221068,s2m_test_20069@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,KAMALA NIKETAN MONTESSORI SCHOOL,911100221074,s2m_test_20075@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,Greenwood High School,911100221365,s2m_test_20368@tests2m.com,18-04-2020 11:15:00,Cancelled
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,Chinmaya vidyalaya,911100222644,s2m_test_21660@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 4,PS Senior Secondary School,911100221371,s2m_test_20374@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 3,Delhi public school (panvel),911100221076,s2m_test_20077@tests2m.com,18-04-2020 11:15:00,Cancelled
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,Amrit,911100221086,s2m_test_21661@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 1,2 [II] 11:15am - Saturday, April 18, 2020",Trial,Grade 2,The Shriram Universal School,911100221366,s2m_test_20369@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 2,Greenwood High School,911100221365,s2m_test_20368@tests2m.com,18-04-2020 16:00:00,Attended
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Trial,Grade 1,NA,911100221100,s2m_test_20102@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 3, 4  [III] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 4,as suffa grammar school,911100221342,s2m_test_20344@tests2m.com,18-04-2020 11:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,NSN,911100221091,s2m_test_20093@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 1,Millennium,911100221005,s2m_test_20006@tests2m.com,18-04-2020 11:15:00,
"fREADom Trial - Grades 1,2 [III] 11:15am - Saturday, April 18, 2020",Duplicate - Trial,Grade 2,KLE English Medium School,911100222624,s2m_test_21639@tests2m.com,18-04-2020 11:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 3,The  cross  word  school,911100221078,s2m_test_20079@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,B.D. Memorial,911100221350,s2m_test_20352@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,Edify,911100221351,s2m_test_20353@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Vedanta Academy,911100221354,s2m_test_20356@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,Greenwood high school,911100221367,s2m_test_20370@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Samhita Accademy,911100221368,s2m_test_20371@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Delhi Public school Megacity,911100221369,s2m_test_20372@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,The Shriram Universal School,911100221370,s2m_test_20373@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Delhi public school,911100221372,s2m_test_20375@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,K.L.E school savadatti,911100221374,s2m_test_20377@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 4,as suffa grammar school,911100221342,s2m_test_20344@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,PS senior secondary school,911100221375,s2m_test_20378@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Delhi Public School,911100221376,s2m_test_20379@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 4,Greenwood high school,911100222645,s2m_test_21662@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 4,The Shriram Millennium School,911100222564,s2m_test_21577@tests2m.com,18-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Sboa,911100221381,s2m_test_20384@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Samashti international school,911100221382,s2m_test_20385@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Greenwood High school,911100221378,s2m_test_20381@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,DPS Howrah,911100221383,s2m_test_20386@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 4,sri sri ravisankar vidya mandir,911100221133,s2m_test_20134@tests2m.com,18-04-2020 18:15:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Maple Tree school,911100221385,s2m_test_20388@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 4,Disha,911100222646,s2m_test_21663@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,KLE,911100221388,s2m_test_20391@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Sri Vidya Kendra Smart School Bangalore,911100221380,s2m_test_20383@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 4,Amrit vidhyalaya,911100222647,s2m_test_21054@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,Kle international school belgaum,911100221389,s2m_test_20392@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,St Peter's high school,911100221391,s2m_test_20394@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Bdmi,911100221393,s2m_test_20396@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,DPS,911100221373,s2m_test_20376@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 4,K.L.E school Athani,911100221066,s2m_test_21664@tests2m.com,18-04-2020 18:15:00,Absent
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Joy school,911100221394,s2m_test_20397@tests2m.com,18-04-2020 16:00:00,Attended
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 3,KLE,911100222648,s2m_test_21665@tests2m.com,18-04-2020 18:15:00,present
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Hyderabad public school,911100221397,s2m_test_20400@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 3,SJR Public School,911100222649,s2m_test_21666@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 1,Hyderabad public school,911100221397,s2m_test_20400@tests2m.com,18-04-2020 16:00:00,Attended
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Navrachna gurukul school,911100221399,s2m_test_20402@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 4,Saint Paul's school,911100222650,s2m_test_21667@tests2m.com,18-04-2020 18:15:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 2,School of India,911100222651,s2m_test_21668@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 1,Mahavir Institute of Education and Research,911100222652,s2m_test_21669@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 1,THE SHRI RAM UNIVERSAL SCHOOL LUDHIANA,911100222653,s2m_test_21670@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Delhi public school,911100221403,s2m_test_20406@tests2m.com,18-04-2020 16:00:00,Attended 
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 1,orchid montessory,911100222654,s2m_test_21671@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Sri Sri Academy,911100221404,s2m_test_20407@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 2,The Secunderabad Public school,911100222655,s2m_test_21672@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,MAHAVIR INSTITUTE OF EDUCATION &RESEARCH,911100221407,s2m_test_20410@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,DPS Megacity,911100222656,s2m_test_21673@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,C M S,911100222657,s2m_test_21674@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,Vidhya Sagar global school,911100222658,s2m_test_21675@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,Aarti dhawal,911100221410,s2m_test_20413@tests2m.com,18-04-2020 16:00:00,Attended
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Dps Hyderabad,911100221408,s2m_test_20411@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Dps Jamnagar,911100222659,s2m_test_21676@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,DPS e City Bangalore,911100221411,s2m_test_20414@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,Chinmaya vidyalaya senior secondary school,911100222660,s2m_test_21677@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 1,2 [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,DPS north Bangalore,911100221412,s2m_test_20415@tests2m.com,18-04-2020 16:00:00,Attended
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,BVBARRS,911100221413,s2m_test_20416@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Mayank,911100221415,s2m_test_20418@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,The Samhita acamedy,911100222661,s2m_test_21678@tests2m.com,18-04-2020 16:00:00,Absent 
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Bawa lalwani public school kapurthala,911100222662,s2m_test_21679@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,The samhitha academy,911100222663,s2m_test_21680@tests2m.com,18-04-2020 16:00:00,Absent 
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,Samashti International School,911100221418,s2m_test_20421@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 4,Sri Sri Academy,911100222643,s2m_test_21659@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Delhi public school,911100221606,s2m_test_20610@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Delhi World School,911100221593,s2m_test_20597@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial - Grades 3, 4  [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,"Parvathy, s anugrahaa international school",911100221591,s2m_test_20595@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Aakash,911100222664,s2m_test_21681@tests2m.com,18-04-2020 16:00:00,Absent 
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Duplicate - Trial,Grade 1,"SIES PRIMARY HIGH SCHOOL MATUNGA, Mumbai",911100222665,s2m_test_21682@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,School of India,911100221589,s2m_test_20593@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,samashti internatinal school,911100222666,s2m_test_21683@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Rankers school,911100221587,s2m_test_20591@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Excel global school,911100221430,s2m_test_20583@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 1,2 [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 2,As suffa Grammer school,911100222667,s2m_test_21684@tests2m.com,18-04-2020 16:00:00,Absent 
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Delhi public schools,911100221561,s2m_test_20565@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Maple Tree School,911100221551,s2m_test_20555@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial Class - Grades 1, 2 [I] 04:00pm - Saturday, April 18, 2020",Trial,Grade 1,NA,911100222609,s2m_test_21685@tests2m.com,18-04-2020 16:00:00,Present 
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Suchitra Academy,911100221426,s2m_test_20430@tests2m.com,18-04-2020 16:00:00,Present
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 3,Sbioajc,911100221438,s2m_test_20442@tests2m.com,18-04-2020 16:00:00,
"fREADom Trial - Grades 3, 4  [II] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Excel global school,911100221430,s2m_test_20434@tests2m.com,18-04-2020 16:00:00,Absent
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 2,DPS south,911100222668,s2m_test_21686@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [III] 04:00pm - Saturday, April 18, 2020",Trial,Grade 4,Kamalaniketan Montessori school,911100221159,s2m_test_20160@tests2m.com,18-04-2020 16:00:00,
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 1,Krishnamal  ramasubbayier,911100221504,s2m_test_20508@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial - Grades 3, 4  [II] 06:15pm - Saturday, April 18, 2020",Trial,Grade 4,Royal Concorde international school,911100222669,s2m_test_21687@tests2m.com,18-04-2020 18:15:00,Present
"fREADom Trial Class - Grades 1, 2 [I] 06:15pm - Saturday, April 18, 2020",Trial,Grade 1,Kps kadma,911100222670,s2m_test_21688@tests2m.com,18-04-2020 18:15:00,Present
